conversationId	utteranceNum	wizard utterance	user utterance	entity	sentiment
CCPE-03d99	7.0	What are the 2 things that you like about this movie?	Well, action movies are not known for sort of their screenplay like the writing. But The Bourne Ultimatum is excellent on that end. So it's a very complete movie, very engaging, and then the cast is excellent. But the entire thing comes together, the pace the action, the story. It's fantastic.	The Bourne Ultimatum	3.0
CCPE-03d99	7.0	What are the 2 things that you like about this movie?	Well, action movies are not known for sort of their screenplay like the writing. But The Bourne Ultimatum is excellent on that end. So it's a very complete movie, very engaging, and then the cast is excellent. But the entire thing comes together, the pace the action, the story. It's fantastic.	The Bourne Ultimatum	3.0
CCPE-03d99	11.0	Can you name a movie that you do not like?	Let's see. I don't like Armageddon.	Armageddon	-2.0
CCPE-03d99	11.0	Can you name a movie that you do not like?	Let's see. I don't like Armageddon.	Armageddon	-1.0
CCPE-03d99	13.0	What are the 2 things that you dislike about this movie?	So the problem with the Armageddon is it has action with no purpose and it has an incredibly incomplete screenplay like a story line. It's so concerned with blowing up things and creating visual effects which it did well, but it's too concerned with that so that it's a very very long movie and the story line is	Armageddon	-3.0
CCPE-03d99	13.0	What are the 2 things that you dislike about this movie?	So the problem with the Armageddon is it has action with no purpose and it has an incredibly incomplete screenplay like a story line. It's so concerned with blowing up things and creating visual effects which it did well, but it's too concerned with that so that it's a very very long movie and the story line is	Armageddon	-2.0
CCPE-03d99	18.0	Do you like the movie Bridesmaids?	I love Bridesmaids.	Bridesmaids	3.0
CCPE-03d99	18.0	Do you like the movie Bridesmaids?	I love Bridesmaids.	Bridesmaids	3.0
CCPE-03d99	20.0	Can you give a couple of reasons why you like or dislike this movie?	Sure, Bridesmaids is incredibly well-written. It is not overdone, so it's not trying too hard to go I think into sort of trying too hard to be funny is just sort of is funny the way it's written which is one of its true strengths. And the other huge strength is its cast which is in someway subtle and someway obvious. But for each role, it was just perfect	Bridesmaids	3.0
CCPE-03d99	20.0	Can you give a couple of reasons why you like or dislike this movie?	Sure, Bridesmaids is incredibly well-written. It is not overdone, so it's not trying too hard to go I think into sort of trying too hard to be funny is just sort of is funny the way it's written which is one of its true strengths. And the other huge strength is its cast which is in someway subtle and someway obvious. But for each role, it was just perfect	Bridesmaids	2.0
CCPE-03d99	22.0	Do you like the movie Crazy Rich Asians?	Oh, I haven't seen that yet, but I'm looking forward to it.	Crazy Rich Asians	1.0
CCPE-03d99	22.0	Do you like the movie Crazy Rich Asians?	Oh, I haven't seen that yet, but I'm looking forward to it.	Crazy Rich Asians	1.0
CCPE-03d99	24.0	Do you like Christopher Robin?	The movie, I have not seen that, I don't know if I will.	Christopher Robin	
CCPE-03d99	24.0	Do you like Christopher Robin?	The movie, I have not seen that, I don't know if I will.	Christopher Robin	
CCPE-03d99	26.0	How about Dumb and Dumber?	Not my favorite.	Dumb and Dumber	-3.0
CCPE-03d99	26.0	How about Dumb and Dumber?	Not my favorite.	Dumb and Dumber	-1.0
CCPE-03d99	28.0	What are the 2 things you dislike about it?	The juvenile humor was kind of expected, but it was even worse than I was thinking it would be, it is just so dumb. I understand the title Dumb and Dumber, but it's just so dumb so stupid.	Dumb and Dumber	-3.0
CCPE-03d99	28.0	What are the 2 things you dislike about it?	The juvenile humor was kind of expected, but it was even worse than I was thinking it would be, it is just so dumb. I understand the title Dumb and Dumber, but it's just so dumb so stupid.	Dumb and Dumber	-3.0
CCPE-046af	1.0	Hello. What is a movie that you particularly like?	Yeah, I'm a big fan of um I saw E.T. I saw that a long time ago, but I really like it Oh, I saw The Iron Giant a long time ago, too.	E.T. The Extra-Terrestrial	3.0
CCPE-046af	1.0	Hello. What is a movie that you particularly like?	Yeah, I'm a big fan of um I saw E.T. I saw that a long time ago, but I really like it Oh, I saw The Iron Giant a long time ago, too.	The Iron Giant	2.0
CCPE-046af	4.0	What do you like about the Iron Giant	You Know	The Iron Giant	
CCPE-046af	11.0		I've seen the Planet Earth documentaries a little bit, and I've definitely watched those, and I saw those on the science channel. I like the the nature documentaries. I like those. I like going out and seeing stuff. I was just in Phoenix, and I saw the botanical gardens down there, and they were gorgeous. It's a gorgeous place down there.	the planet earth documentaries	2.0
CCPE-046af	14.0		Stockholm Pennsylvania, and it was really surprising to see how closely he touched the children and how much they like bonded with him, even as adults.	Stockholm, Pennsylvania	1.0
CCPE-046af	17.0	Do you like horror movies?	You know, I just watched I just found a movie I watched a long time ago called death metal veins, and it's about these heroin addicts who are in like a Satanic band, and I thought that was a really good movie. It was very I needed a shower afterwards. Like people in their insanely like like It's incredible, with the people you'll live with on this Earth, you know? It's incredible to see like all the suffering and stuff in that. That was pretty creepy.	Black Metal Veins	3.0
CCPE-046af	21.0	Did you see The Shape of Water?	If you ask me anything from 2018, like I probably haven't seen it cuz I just don't go to the movies. I've never heard of it before. I never heard of it.	The Shape of Water	
CCPE-046af	26.0		I haven't seen that, either. I think I have seen Jurassic Park, though, and vaguely remember Jurassic Park, and I thought that was a good movie.	Jurassic Park	2.0
CCPE-0472e	3.0	OK. Great. Why do you like action?	I like the high activity, how it's, like, Fast and Furious, how it, like, always is a go, go, go and the action and direction is cool	The Fast and the Furious	3.0
CCPE-0472e	3.0	OK. Great. Why do you like action?	I like the high activity, how it's, like, Fast and Furious, how it, like, always is a go, go, go and the action and direction is cool	The Fast and the Furious	1.0
CCPE-0472e	5.0	Can you tell me the title of one of your favorite movies?	Fast and the Furious	The Fast and the Furious	3.0
CCPE-0472e	5.0	Can you tell me the title of one of your favorite movies?	Fast and the Furious	The Fast and the Furious	3.0
CCPE-0472e	9.0	Do you like movies like The Matrix?	Yes.	The Matrix	2.0
CCPE-0472e	9.0	Do you like movies like The Matrix?	Yes.	The Matrix	1.0
CCPE-0472e	15.0	do you like movies like crazy rich asians?	Yes, I do. I loved it.	Crazy Rich Asians	3.0
CCPE-0472e	15.0	do you like movies like crazy rich asians?	Yes, I do. I loved it.	Crazy Rich Asians	3.0
CCPE-053af	4.0	Is there a particular film you enjoy?	Yes. I enjoy watching the the Ninja Turtle movie.	Teenage Mutant Ninja Turtles	3.0
CCPE-053af	4.0	Is there a particular film you enjoy?	Yes. I enjoy watching the the Ninja Turtle movie.	Teenage Mutant Ninja Turtles	1.0
CCPE-053af	10.0		2010 Moby Dick	2010: Moby Dick	
CCPE-053af	10.0		2010 Moby Dick	2010: Moby Dick	
CCPE-053af	15.0	Have you heard about the movie Deadpool?	Yes. I have heard of it, and I also watched it.	Deadpool	
CCPE-053af	15.0	Have you heard about the movie Deadpool?	Yes. I have heard of it, and I also watched it.	Deadpool	
CCPE-05d1d	5.0		Oh, yeah. Last one was really good. The second Avengers	Avengers: Age of Ultron	3.0
CCPE-05d1d	5.0		Oh, yeah. Last one was really good. The second Avengers	Avengers: Age of Ultron	
CCPE-05d1d	16.0	Do you like movies like Star Wars?	Yeah, I like Star Wars. I even like that Han Solo story that a lot of people didn't like.	star wars	3.0
CCPE-05d1d	16.0	Do you like movies like Star Wars?	Yeah, I like Star Wars. I even like that Han Solo story that a lot of people didn't like.	star wars	1.0
CCPE-05f8c	6.0	What's one of your favorite movies?	One of my favorite movies is Space Jam.	Space Jam	3.0
CCPE-05f8c	6.0	What's one of your favorite movies?	One of my favorite movies is Space Jam.	Space Jam	3.0
CCPE-05f8c	8.0	Do you like movies like The Matrix?	Yeah, I like it.	The Matrix	2.0
CCPE-05f8c	8.0	Do you like movies like The Matrix?	Yeah, I like it.	The Matrix	1.0
CCPE-05f8c	10.0	what about movies like Alien?	I've never seen that movie before.	Alien	
CCPE-05f8c	10.0	what about movies like Alien?	I've never seen that movie before.	Alien	
CCPE-05f8c	12.0	What type of movies do you not like?	Let's see, movies I don't like. Crossroads, the movie with Britney Spears in it. I didn't like it because it just	Crossroads	-2.0
CCPE-05f8c	12.0	What type of movies do you not like?	Let's see, movies I don't like. Crossroads, the movie with Britney Spears in it. I didn't like it because it just	Crossroads	-1.0
CCPE-05f8c	17.0	Do you like movies like The Godfather?	Yeah, if I like movies I pick out because there is a lot of action, guns, shooting, violence, yeah. Keeps me on the edge of my seat. So, yeah, it's good.	The Godfather	3.0
CCPE-05f8c	17.0	Do you like movies like The Godfather?	Yeah, if I like movies I pick out because there is a lot of action, guns, shooting, violence, yeah. Keeps me on the edge of my seat. So, yeah, it's good.	The Godfather	1.0
CCPE-091fd	3.0	Why do you enjoy this genre and is there a specific film?	I just I like to laugh and the one that comes to mind is Tucker & Dale vs. Evil.	Tucker and Dale vs. Evil	2.0
CCPE-091fd	3.0	Why do you enjoy this genre and is there a specific film?	I just I like to laugh and the one that comes to mind is Tucker & Dale vs. Evil.	Tucker and Dale vs. Evil	3.0
CCPE-091fd	11.0	Have you seen the movie Searching?	No. What's that?	Searching	
CCPE-091fd	11.0	Have you seen the movie Searching?	No. What's that?	Searching	
CCPE-091fd	13.0	Have you seen the movie Saw?	Yes.	Saw	
CCPE-091fd	13.0	Have you seen the movie Saw?	Yes.	Saw	
CCPE-091fd	19.0	Have you seen the movie Friday The 13th?	Yes.	Friday the 13th	
CCPE-091fd	19.0	Have you seen the movie Friday The 13th?	Yes.	Friday the 13th	
CCPE-09690	3.0	so movies like Harry Potter?	Yes, I love Harry Potter movies. They are full of fantasy. I love how each one of them has different Patronuses.	harry potter	3.0
CCPE-09690	3.0	so movies like Harry Potter?	Yes, I love Harry Potter movies. They are full of fantasy. I love how each one of them has different Patronuses.	harry potter	3.0
CCPE-09690	5.0	what is another one of your favorite movies?	Stardust is another favorite movie that I like.	Stardust	2.0
CCPE-09690	5.0	what is another one of your favorite movies?	Stardust is another favorite movie that I like.	Stardust	3.0
CCPE-09690	13.0	have you heard of the movie Inception?	Yes, I have heard of the movie Inception.	Inception	
CCPE-09690	13.0	have you heard of the movie Inception?	Yes, I have heard of the movie Inception.	Inception	
CCPE-09690	18.0	you seen the movie Wreck-It Ralph?	Yes, I have seen the movie Wreck-It Ralph.	Wreck-it Ralph	
CCPE-09690	18.0	you seen the movie Wreck-It Ralph?	Yes, I have seen the movie Wreck-It Ralph.	Wreck-it Ralph	
CCPE-09d1a	1.0	what are some type of movies that you like?	I typically like the the sort of sci-fi sort of movies. Like for instance, Star Wars or any any type of like action movies or like some really like aesthetically pleasing movies. For instance, Interstellar was a really good movie. Inception I also thought was a really good movie. Movies with really good music scores are also really good on a are a really good	Inception	3.0
CCPE-09d1a	1.0	what are some type of movies that you like?	I typically like the the sort of sci-fi sort of movies. Like for instance, Star Wars or any any type of like action movies or like some really like aesthetically pleasing movies. For instance, Interstellar was a really good movie. Inception I also thought was a really good movie. Movies with really good music scores are also really good on a are a really good	Interstellar	3.0
CCPE-09d1a	1.0	what are some type of movies that you like?	I typically like the the sort of sci-fi sort of movies. Like for instance, Star Wars or any any type of like action movies or like some really like aesthetically pleasing movies. For instance, Interstellar was a really good movie. Inception I also thought was a really good movie. Movies with really good music scores are also really good on a are a really good	star wars	2.0
CCPE-09d1a	3.0	what did you like about inception?	I really One of the things I liked about it was like the whole like music thing about it, and then like the whole story behind it, as well. Like the way if you dream, then you It like There's more layers to your dreams, and then inside the dream, it'll be like like 100 years inside of a dream, but it's like a second in real life.	Inception	2.0
CCPE-09d1a	10.0	have you heard of the movie Django Unchained?	Yes, I have. I've also watched that movie before.	Django Unchained	
CCPE-09e05	5.0	can you name a specific movie that you like that fits that category, and what aspects you like about the movie type	I recently re watched The Matrix and it held up really well. It has a pretty decent plot, the production value there are outstanding and it just looks really good for a movie from the 2000s.	The Matrix	3.0
CCPE-09e05	5.0	can you name a specific movie that you like that fits that category, and what aspects you like about the movie type	I recently re watched The Matrix and it held up really well. It has a pretty decent plot, the production value there are outstanding and it just looks really good for a movie from the 2000s.	The Matrix	3.0
CCPE-09e05	7.0	thanks for sharing. how about a movie that fits that category that wasn't too great, and what made you decide you didn't like that movie type	Let me think. I can't really think of any sci-fi movies I've seen recently. Maybe The Crow. The Crow is not I guess you could say that's sci-fi. But I don't know. I just didn't like it. It was kind of overly campy, a little bit too self-serious, and it just kind of went all over the place.	The Crow	-2.0
CCPE-09e05	7.0	thanks for sharing. how about a movie that fits that category that wasn't too great, and what made you decide you didn't like that movie type	Let me think. I can't really think of any sci-fi movies I've seen recently. Maybe The Crow. The Crow is not I guess you could say that's sci-fi. But I don't know. I just didn't like it. It was kind of overly campy, a little bit too self-serious, and it just kind of went all over the place.	The Crow	-3.0
CCPE-09e05	9.0	got it. i understand. have you seen any of the avenger movies	I have.	the avenger	
CCPE-09e05	9.0	got it. i understand. have you seen any of the avenger movies	I have.	the avenger	
CCPE-0a109	5.0	Can you name a particular movie you like?	Caddyshack is probably my favorite comedy.	Caddyshack	3.0
CCPE-0a109	5.0	Can you name a particular movie you like?	Caddyshack is probably my favorite comedy.	Caddyshack	3.0
CCPE-0a109	7.0	What did you like about candy shack?	Caddyshack I like everything about it. It has Chevy Chase, Rodney Dangerfield. It's just a really funny movie that I can watch whenever, and I'll always laugh at it.	Caddyshack	3.0
CCPE-0a109	7.0	What did you like about candy shack?	Caddyshack I like everything about it. It has Chevy Chase, Rodney Dangerfield. It's just a really funny movie that I can watch whenever, and I'll always laugh at it.	Caddyshack	3.0
CCPE-0a109	11.0	any movie	Dinosaur, the Disney movie, from like 15 years ago. I hated that movie.	Dinosaur	-3.0
CCPE-0a109	11.0	any movie	Dinosaur, the Disney movie, from like 15 years ago. I hated that movie.	Dinosaur	-3.0
CCPE-0a109	15.0	I see. What about the incredibles then?	I've never seen it, but I like movies like The Incredibles. I like Pixar movies, so I probably would like that.	The Incredibles	2.0
CCPE-0a109	15.0	I see. What about the incredibles then?	I've never seen it, but I like movies like The Incredibles. I like Pixar movies, so I probably would like that.	The Incredibles	2.0
CCPE-0a109	19.0	what about one you enjoyed? can you tell me about it?	I like The Dark Knight a lot, the one from 2008 I think.	The Dark Knight	2.0
CCPE-0a109	19.0	what about one you enjoyed? can you tell me about it?	I like The Dark Knight a lot, the one from 2008 I think.	The Dark Knight	3.0
CCPE-0a315	5.0	got it, can you name a specific movie you really liked?	Sure, Best in Show is one of my absolute favorites.	Best in Show	3.0
CCPE-0a315	5.0	got it, can you name a specific movie you really liked?	Sure, Best in Show is one of my absolute favorites.	Best in Show	3.0
CCPE-0a315	13.0	ok, can you name a film you dislike?	Sure, Bounty Hunter.	The Bounty Hunter	-1.0
CCPE-0a315	13.0	ok, can you name a film you dislike?	Sure, Bounty Hunter.	The Bounty Hunter	-3.0
CCPE-0a315	21.0	ok, can you tell me have you watched the movie the shawshank redemption?	Oh, yes.	The Shawshank Redemption	
CCPE-0a315	21.0	ok, can you tell me have you watched the movie the shawshank redemption?	Oh, yes.	The Shawshank Redemption	
CCPE-0a55a	5.0	can you name a particular movie that fits that category, and describe a bit about why u like that kind of movie	Guardians of the Galaxy because I really enjoyed it. And the story was compelling, and I liked the characters presented.	Guardians of the Galaxy	2.0
CCPE-0a55a	5.0	can you name a particular movie that fits that category, and describe a bit about why u like that kind of movie	Guardians of the Galaxy because I really enjoyed it. And the story was compelling, and I liked the characters presented.	Guardians of the Galaxy	3.0
CCPE-0a55a	11.0	ah. i understand. have you heard of the movie deadpool	Yes.	Deadpool	
CCPE-0a55a	11.0	ah. i understand. have you heard of the movie deadpool	Yes.	Deadpool	
CCPE-0a55a	15.0	how about the matrix	Yes, I love that movie.	The Matrix	3.0
CCPE-0a55a	15.0	how about the matrix	Yes, I love that movie.	The Matrix	3.0
CCPE-0bccf	9.0	okay. That makes sense. So what's a movie you've seen that you've enjoyed	I'd say Shallow Hal was a good movie, I like that movie.	Shallow Hal	2.0
CCPE-0c282	1.0	What kind of movies do you like to watch?	I really enjoy the Harry Potter movies.	harry potter	3.0
CCPE-0c282	1.0	What kind of movies do you like to watch?	I really enjoy the Harry Potter movies.	harry potter	3.0
CCPE-0c282	9.0	Have you seen Solo: A Star Wars Story?	I have not seen that movie yet.	Solo: A Star Wars Story	
CCPE-0c282	9.0	Have you seen Solo: A Star Wars Story?	I have not seen that movie yet.	Solo: A Star Wars Story	
CCPE-0c282	11.0	Have you seen Fight Club?	Yes, I have seen that movie.	Fight Club	
CCPE-0c282	11.0	Have you seen Fight Club?	Yes, I have seen that movie.	Fight Club	
CCPE-0c2db	1.0	what kind of movies do you like?	I like movies such as like Schindler's List, Shawshank Redemption, basically anything that's drama, that's like based on a real story is interesting. I like you know, action movies. I like comedies, and you know, movies like Titanic.	Titanic	2.0
CCPE-0c2db	7.0	nice. can you name a movie you liked?	I like movies like like the Titanic, and I loved E.T. the Extra-Terrestrial that's a fun movie, and Forrest Gump.	E.T. The Extra-Terrestrial	3.0
CCPE-0c2db	7.0	nice. can you name a movie you liked?	I like movies like like the Titanic, and I loved E.T. the Extra-Terrestrial that's a fun movie, and Forrest Gump.	Forrest Gump	2.0
CCPE-0c2db	7.0	nice. can you name a movie you liked?	I like movies like like the Titanic, and I loved E.T. the Extra-Terrestrial that's a fun movie, and Forrest Gump.	Titanic	2.0
CCPE-0c46f	3.0	can u name a movie that fits one of those categories that u really liked?	Let's see. The last movie I've seen that fits one of my pics. It's a documentary. It's called the It's about the Fyre Festival.	Fyre	1.0
CCPE-0c46f	3.0	can u name a movie that fits one of those categories that u really liked?	Let's see. The last movie I've seen that fits one of my pics. It's a documentary. It's called the It's about the Fyre Festival.	Fyre	2.0
CCPE-0c46f	12.0	ok. can u now name me a movie that fits one of those categories that you didn't like?	that I didn't like. It's kind of hard cuz I like a lot of movies. But comedy wise, I'll choose the Sherlock movie with Will Ferrell.	Holmes and Watson	-1.0
CCPE-0c46f	12.0	ok. can u now name me a movie that fits one of those categories that you didn't like?	that I didn't like. It's kind of hard cuz I like a lot of movies. But comedy wise, I'll choose the Sherlock movie with Will Ferrell.	Holmes and Watson	-2.0
CCPE-0c46f	16.0	Have u seen X-Men: Apocalypse	Yes, I have seen it. I've I own a copy.	X-Men: Apocalypse	1.0
CCPE-0c46f	16.0	Have u seen X-Men: Apocalypse	Yes, I have seen it. I've I own a copy.	X-Men: Apocalypse	2.0
CCPE-0cd98	1.0	What kind of movies do you enjoy and why?	I like the really like the thrillers, you know, stuff like Memento or you know, something that's got some twists and turns in it. Maybe it makes you think it's going to end one way and then ends the other. I like The Sixth Sense or that Gone Girl was pretty good, even though it was kind of	Gone Girl	2.0
CCPE-0cd98	1.0	What kind of movies do you enjoy and why?	I like the really like the thrillers, you know, stuff like Memento or you know, something that's got some twists and turns in it. Maybe it makes you think it's going to end one way and then ends the other. I like The Sixth Sense or that Gone Girl was pretty good, even though it was kind of	Memento	3.0
CCPE-0cd98	1.0	What kind of movies do you enjoy and why?	I like the really like the thrillers, you know, stuff like Memento or you know, something that's got some twists and turns in it. Maybe it makes you think it's going to end one way and then ends the other. I like The Sixth Sense or that Gone Girl was pretty good, even though it was kind of	The Sixth Sense	2.0
CCPE-0cd98	4.0	Is there a particular film you enjoy?	Yeah, The Usual Suspects, because Mainly because I really When I watched it the first time, it's one of those movies that you can't really I mean, you can watch it more than once, but you The first time you watch, you won't know the twist, so it really kind of grabs you. And with that one, I really didn't have any clue. I mean, usually you might have some kind of inkling of what's going to happen, but with that movie to me, it just really kind of grabbed me, and I was like, man	The Usual Suspects	2.0
CCPE-0cd98	9.0	Is there a particular movie you don't enjoy?	I wasn't a huge fan of the Harry Porter movies. It's not that I didn't enjoy them so much, it's just, I don't know, I just wasn't I never read the books I guess I just wasn't as interested in them as everybody else. I actually	harry porter	-1.0
CCPE-0cd98	14.0	Have you heard about the movie Get Out?	Yeah, I actually haven't seen it. I'm not a big horror movie kind of guy, either. But I heard it was good. I probably will watch it. Like I said	Get Out	1.0
CCPE-0cd98	19.0	Did you see the movie the movie Overlord?	Is that the one	Overlord	
CCPE-0cd98	22.0	Have you heard about the movie Thor?	Yeah, I saw that. I've seen all the Thors. I like it. The last one I thought was really good, probably the best of all of them.	Thor	2.0
CCPE-0cf17	5.0	Is there an action movie you liked?	I like the action movie Tomb Raider	Tomb Raider	2.0
CCPE-0cf17	5.0	Is there an action movie you liked?	I like the action movie Tomb Raider	Tomb Raider	2.0
CCPE-0cf17	10.0		Friday the 13th	Friday the 13th	
CCPE-0cf17	17.0	have you then seen Jurassic World: Fallen Kingdom	Yes, Jurassic Kingdom. It's about this dinosaur.	Jurassic World: Fallen Kingdom	
CCPE-0cf17	17.0	have you then seen Jurassic World: Fallen Kingdom	Yes, Jurassic Kingdom. It's about this dinosaur.	Jurassic World: Fallen Kingdom	1.0
CCPE-0d18c	8.0		It was called Love on the Sidelines, and now it's a really good Hallmark movie.	Love on the Sidelines	2.0
CCPE-0d18c	8.0		It was called Love on the Sidelines, and now it's a really good Hallmark movie.	Love on the Sidelines	2.0
CCPE-0d18c	10.0	have you watch the movie The Matrix?	Yes, I have seen The Matrix.	The Matrix	
CCPE-0d18c	10.0	have you watch the movie The Matrix?	Yes, I have seen The Matrix.	The Matrix	
CCPE-0d18c	15.0	what about the movie Love Actually?	Yeah, I have seen that.	Love Actually	
CCPE-0d18c	15.0	what about the movie Love Actually?	Yeah, I have seen that.	Love Actually	
CCPE-0d396	5.0	Great! What's one of your favorite movies?	That's a tough one. Let's go. I like My fun movie is The Matrix.	The Matrix	2.0
CCPE-0d396	5.0	Great! What's one of your favorite movies?	That's a tough one. Let's go. I like My fun movie is The Matrix.	The Matrix	3.0
